n,burbuja,quick,insertion,merge
229,61500,8600,8400,29500
230,52200,8400,8500,17600
231,53500,9700,7900,25200
232,55400,9000,8600,17700
233,58400,9100,8800,18000
234,55500,9000,8800,18400
235,54200,9100,9000,17300
236,58200,9000,6700,19100
237,57600,8900,8800,29600
238,55800,9100,9000,17400
239,57000,9300,9100,17800
240,64700,9400,9300,30400
241,65100,9200,7000,18000
242,58400,9200,9000,18000
243,56900,9200,9300,30300
244,58900,9300,7100,18100
245,57400,9100,7000,18000
246,63100,10700,9500,52500
247,67100,9500,7200,18800
248,71000,9300,9300,19400
249,65600,9500,9400,31600
250,60300,9400,7200,19000
251,60900,9900,7600,19100
252,61200,9600,7500,29000
253,72700,9800,9500,19500
254,67700,9600,7600,32300
255,65400,9500,9200,29300
256,63000,9800,9900,18700
257,77500,9800,9700,24000
258,65600,10000,10700,50500
259,63900,9900,9400,19200
260,86200,9900,10000,22600
261,74100,13500,10300,61800
262,68900,10100,12100,20700
263,70800,9500,9900,20100
264,74400,11700,10000,46300
265,81500,10200,13400,29500
266,77800,12200,12900,26600
267,65400,10100,7600,32000
268,69700,10100,7600,20200
269,69200,9800,7900,20800
270,67800,9900,7500,23900
271,71700,10100,8000,31800
272,73000,10600,10300,20000
273,73500,10200,10300,21300
274,72900,10200,10300,32900
275,102200,10800,11100,26100
276,85200,10600,10200,23100
277,73200,11300,10500,33200
278,76100,10800,10800,21500
279,72500,10300,10200,21300
280,71700,10700,10400,20600
281,76200,10300,10100,32500
282,75700,10200,10100,21200
283,85400,10800,8900,21500
284,75000,10300,8600,22100
285,76700,10700,8600,33600
286,74600,10800,8500,21100
287,85200,11300,11200,35900
288,87300,11500,9000,33700
289,85300,11100,13000,36700
290,93100,11300,11100,22400
291,90400,11200,13300,25300
292,97500,11400,11100,43100
293,93000,11300,11100,36300
294,82500,11300,8300,22800
295,79800,11300,8500,23100
296,87800,10700,10800,21900
297,83300,11000,8400,21600
298,85400,11000,8700,33300
299,91100,11200,10900,34400
300,85500,11500,11300,33900
301,86900,11100,11100,34300
302,85300,11900,9300,23600
303,97500,11500,11800,33900
304,89300,11800,14000,23800
305,102900,14100,11200,23900
306,86600,11300,8700,22900
307,87100,11800,11200,24000
308,87600,11700,11100,23200
309,84200,11700,11600,23000
310,88900,12300,11500,40400
311,90800,12100,12000,33000
312,100600,12200,12100,35000
313,88400,12200,9100,34600
314,86400,12100,11600,34900
315,90500,11600,12000,27900
316,97400,15000,9700,23700
317,103700,14800,15100,33900
318,107000,12700,14400,31200
319,107000,14100,9300,23900
320,123700,12000,12300,30800
321,114800,12300,12200,23800
322,103800,11900,9400,24100
323,94100,12300,10000,25000
324,93000,12400,14700,24500
325,104300,12200,14300,24700
326,110100,12700,12500,25800
327,99300,12200,11600,24300
328,105400,12600,9400,36800
329,129200,12000,13900,62800
330,94500,12200,11800,63300
331,100800,12300,11900,49300
332,108300,12800,12400,37200
333,116700,14900,13300,39500
334,109700,12700,13100,38100
335,98600,12700,12400,37200
336,103300,15200,13000,47400
337,106200,13300,12700,36300
338,103700,12900,11300,38200
339,121800,13100,14300,38200
340,123300,12800,12900,37300
341,105100,13100,12700,38600
342,114200,14800,13900,26200
343,129300,12900,12900,26100
344,118300,12900,12100,37600
345,128400,13200,10400,38400
346,108100,12800,13100,58700
347,127500,15600,13500,40900
348,128800,13000,12800,40300
349,109800,13200,13200,39400
350,145600,21700,10600,38300
351,106500,13100,12900,38900
352,135000,13400,10400,38900
353,113300,13200,12800,59500
354,124100,16000,13500,67600
355,129700,13600,13200,40400
356,115900,13900,10800,41400
357,118900,13600,13300,43200
358,121200,14500,14000,38400
359,115400,13500,13500,39000
360,118700,13600,13300,41300
361,112400,13700,10400,43400
362,133100,13000,10800,38100
363,130500,14000,11500,38000
364,120100,14100,11100,46600
365,117400,14200,14000,50100
366,143500,14000,13400,28300
367,122000,13600,13600,27200
368,142400,14000,13600,27800
369,148300,14400,14100,27700
370,120300,17800,13500,28300
371,153200,13900,11700,37300
372,140300,17200,12500,33800
373,124600,15000,14300,28500
374,137200,14500,12200,27800
375,141400,17000,14300,65500
376,135900,17900,13900,41200
377,128300,18300,16100,43200
378,152600,17500,14100,43600
379,141900,14500,14300,41700
380,142300,13700,13500,39200
381,142700,17400,17500,44900
382,152400,14300,13700,31300
383,156200,16800,14600,28500
384,150300,17900,17900,38200
385,155200,19200,18400,38400
386,153100,18400,17200,40700
387,165100,18600,19500,39400
388,155200,17700,16800,37500
389,163300,18300,17900,39200
390,192500,18500,18500,59600
391,161500,20400,17200,65000
392,209800,27600,18200,95300
393,246900,20400,17500,72900
394,182600,18500,17400,58300
395,159700,18100,17800,41300
396,170800,19100,91200,38900
397,170300,17600,17800,42000
398,176300,19300,18300,64200
399,167900,18600,17600,59100
400,167900,19900,19000,41900
401,272100,17600,18000,62400
402,164600,19600,18900,44100
403,145700,15300,14600,59800
404,168200,15900,15000,45700
405,146300,18100,15300,38200
406,181800,20800,21100,39800
407,167300,19400,18400,42700
408,157900,15800,15500,37100
409,159000,14800,11900,73200
410,143400,15300,12100,43800
411,150600,20500,19500,62200
412,174300,15700,15400,40800
413,175100,15700,12500,41100
414,154800,15800,15300,31900
415,159700,20800,19900,44900
416,192600,21600,48500,45000
417,155900,16100,12700,45600
418,180800,21100,15300,47300
419,177700,18800,15700,42700
420,179900,18800,18900,52500
421,154200,16500,14300,32000
422,159300,16500,16300,38700
423,196700,16200,13100,44600
424,179300,21500,16200,45200
425,164900,16600,15800,45800
426,156700,16100,13800,47800
427,163400,16100,13300,32100
428,155900,15500,13600,31000
429,166800,16300,13500,31000
430,168000,16000,13300,40500
431,162100,15800,13800,40100
432,169400,16300,13900,48800
433,172900,16000,15900,32000
434,169000,16200,13800,40600
435,188900,16100,12800,33000
436,166900,16600,13700,50100
437,174100,19100,16600,66000
438,168000,16500,16100,68800
439,164400,17200,14300,32000
440,167800,16600,13800,32200
441,167700,16100,13700,32200
442,167800,16600,13600,41400
443,163900,16600,14200,43300
444,194300,17000,13900,43500
445,187400,17100,14100,33700
446,170900,16800,14100,60800
447,188400,20100,17700,49700
448,202800,17400,14500,43000
449,203800,17100,16700,33200
450,183200,16800,14500,32800
451,219100,17300,15000,44600
452,185000,17800,14900,45400
453,184400,17600,14200,49400
454,180500,17700,14400,33000
455,205900,17000,17000,34000
456,183600,17400,21500,58200
457,205500,23600,18200,68500
458,201000,25200,17700,78900
459,194900,17400,14900,40800
460,191400,16600,16400,33500
461,192700,17300,17500,45400
462,182800,16900,14300,1485700
463,188200,17400,14300,31400
464,180800,18200,15700,30500
465,209700,17500,17600,31000
466,205800,22000,14500,31200
467,190400,16800,13800,47400
468,182900,19600,21700,76200
469,217500,18300,14600,46100
470,189900,17700,14700,47500
471,187000,18400,18000,53100
472,213000,18300,17300,39900
473,190600,18000,18000,44300
474,197000,17500,17000,67500
475,226600,18600,20000,53200
476,189000,17200,14300,35400
477,195000,17200,17900,56200
478,188900,17400,14500,47300
479,194300,19900,18700,36500
480,211000,18100,14900,36400
481,199500,18300,15600,49200
482,190800,17800,14900,37200
483,199100,17600,15100,31000
484,196600,18000,15700,31200
485,201300,17900,15000,46600
486,208900,18000,18100,47300
487,202500,18800,15500,35100
488,203900,19100,15600,46700
489,214400,18800,16200,45600
490,205200,18700,16200,41000
491,211700,18100,15300,32400
492,214900,19100,18400,32600
493,206500,18500,15500,32400
494,212000,19300,16500,32400
495,203100,18300,15700,31200
496,204300,18400,15800,31800
497,205400,18400,15300,31900
498,207300,18800,18100,32700
499,206500,19600,16200,32700
500,214600,18200,15800,32000
501,244400,19100,18900,32200
502,215400,18400,15900,32600
503,216900,19100,16100,32300
504,228600,20400,18600,37400
505,221700,20300,18800,33200
506,221000,18200,15700,32500
507,223800,18800,19000,32800
508,219600,18700,15600,32300
509,253700,24100,19400,33300
510,248700,26400,19000,32700
511,257200,19500,16100,33100
512,263200,19800,18900,32500
513,229700,18500,18900,33200
514,230000,24000,24200,56100
515,219600,19600,16900,33900
516,228300,20300,19400,34100
517,224400,18500,15500,34500
518,222000,19500,16800,33200
519,238200,19100,16200,38200
520,223500,20000,17100,34100
521,228800,19000,15700,34600
522,227000,18600,16400,34400
523,234800,19200,19700,47600
524,275700,24300,23900,48800
525,262700,25000,24400,52000
526,249600,25100,19800,36300
527,269600,20300,20200,34800
528,234600,20000,17200,39500
529,240300,19800,17000,35100
530,267700,19800,21400,35000
531,237100,19500,19400,34900
532,239500,19700,16700,35000
533,246100,19500,17000,34600
534,237500,20200,17000,34400
535,246400,20100,16800,35500
536,247200,45500,20000,44600
537,244900,21400,16900,43300
538,248000,24200,20600,41100
539,265900,20500,20300,36400
540,244200,20400,20600,35600
541,256100,20400,20400,36600
542,244700,25200,26700,51600
543,283200,20900,20000,36100
544,249200,20100,16800,34900
545,246300,20100,17000,36500
546,263200,39500,27400,54000
547,253400,24600,24000,44900
548,283100,24100,24100,57000
549,282800,28700,24000,38200
550,290900,20300,19900,36400
551,286100,20500,20800,41500
552,261600,20700,17800,36400
553,246900,20400,20200,37900
554,284100,21200,17400,36800
555,271400,28600,20200,56800
556,266500,24200,25100,54500
557,299500,25600,26600,50300
558,269400,21400,27600,58400
559,264300,20800,17400,37500
560,268300,25900,20500,37800
561,260100,20100,16900,41300
562,268200,27300,20300,37900
563,263300,21600,18800,37100
564,262500,21400,18200,37300
565,271600,23100,19200,61900
566,263800,21700,18400,53900
567,299700,24500,25300,61300
568,294800,26200,24900,47900
569,271200,21000,24600,49300
570,280000,29100,21800,38800
571,276000,27800,25900,58700
572,293700,21000,18000,70500
573,268500,22400,18600,55300
574,277400,21700,19400,47200
575,315600,25300,30600,38200
576,303200,22000,26200,38600
577,278100,22000,21500,37800
578,274300,21100,20900,42500
579,276600,21600,19000,37600
580,306900,21700,18400,37400
581,309300,27700,20700,38200
582,280300,22500,21800,51900
583,274400,21300,20700,42300
584,312000,21700,21800,55300
585,316900,22600,26300,38700
586,281900,24400,22300,39200
587,278800,21800,18300,44700
588,287100,21500,21200,38800
589,282600,21800,21600,40400
590,944600,21800,21200,39900
591,286200,22300,21900,39400
592,289100,22300,24100,58600
593,291300,22400,19000,39600
594,338000,27500,28100,55300
595,284600,22700,25000,56100
596,290400,26600,21600,39700
597,285600,22900,19700,39900
598,298200,22500,22500,40500
599,289900,21900,19000,40600
600,296100,22800,24600,56300
601,299200,26200,24700,41200
602,292900,27200,22000,55800
603,302500,22700,19400,63500
604,352200,25000,21400,62600
605,348500,26700,22800,61400
606,308200,22400,27700,52800
607,341000,24700,26400,40900
608,300800,22700,19200,63400
609,313000,23200,28500,40300
610,333200,23600,22800,41200
611,314800,28200,23000,40900
612,307100,26000,25700,105400
613,335600,22900,19400,54600
614,336700,26000,24200,56000
615,350000,25700,31100,61500
616,339600,23200,24900,66300
617,340400,23300,23100,54300
618,312800,28200,22600,61700
619,337300,23900,25300,41700
620,349200,24200,20300,41000
621,328200,27100,30300,56700
622,342000,23100,22700,64300
623,366400,31000,27100,42300
624,308200,23400,20600,42700
625,316700,28100,21800,41300
626,309200,31500,23100,45800
627,310400,23900,24100,41500
628,321400,23700,19800,41700
629,360900,24500,22900,42000
630,350000,29700,24700,54200
631,332700,22900,19900,55500
632,315600,24400,24000,51400
633,326200,23900,20300,48800
634,321900,23300,20300,60000
635,343500,25200,28300,42400
636,330500,24200,24000,42400
637,333600,23500,20500,41400
638,331200,24100,22700,40100
639,335900,23500,23800,42500
640,347100,26000,21900,49600
641,365900,24800,19200,42800
642,328800,23700,22800,41700
643,333900,23300,20200,45700
644,323000,23700,20100,41900
645,331100,23900,21600,42100
646,346000,24100,21300,41800
647,338900,24100,21000,42500
648,337400,24100,29300,41600
649,335400,23200,22700,43700
650,326300,26100,22000,86100
651,334600,24300,23500,52300
652,337700,23500,23400,43000
653,347100,25300,22300,43700
654,336800,24700,24900,42500
655,337400,24200,20900,42900
656,347300,22400,23400,42500
657,346000,24600,21500,45400
658,351000,24500,24500,42900
659,351000,24600,20900,43600
660,351000,25000,27500,63500
661,379900,24800,21700,44000
662,356800,24100,20900,44800
663,349200,24600,29600,48600
664,342500,24100,23500,43900
665,347600,24300,23500,43700
666,346400,24600,24400,47700
667,349300,24700,24800,43200
668,353500,30500,24600,43600
