n,burbuja_promedio,burbuja_mejor,burbuja_peor,quick_promedio,quick_mejor,quick_peor,insertion_promedio,insertion_mejor,insertion_peor,merge_promedio,merge_mejor,merge_peor
88,10300,100,5500,11500,3600,3100,1500,200,2200,13100,3700,3000
89,10700,100,5600,3000,3300,3000,1500,100,3100,15300,4100,4000
90,11400,100,5600,3400,3400,3400,1500,300,2500,5800,4800,3500
91,11100,100,5800,3500,3600,3500,1500,200,2200,5600,3000,3600
92,10900,100,5900,3500,3500,3600,1400,200,2100,7100,2900,3500
93,10800,100,6000,3600,3900,3400,1400,200,2200,5300,3100,3600
94,11000,100,6100,3500,3700,3500,1400,200,2100,10600,3200,3600
95,11500,100,6000,3700,3400,3600,1600,200,2100,5500,7600,4100
96,11700,100,6300,3300,3500,3600,1500,200,2300,5400,3000,3400
97,11400,100,6400,3300,3500,3600,1400,200,2200,5800,2900,5400
98,11400,200,6600,3800,3900,3700,1800,200,2600,5400,3100,3900
99,12900,100,6400,3300,3900,3900,1500,100,2200,6000,5100,3500
100,11200,200,6900,3300,3600,3700,2200,200,3000,11500,3300,4800
101,12800,200,7000,3800,3700,3500,1800,100,2400,7900,7800,3700
102,12500,100,7000,3500,4500,3800,1500,200,2300,6000,3300,11000
103,16400,300,8100,5300,5600,5100,3100,100,2500,8200,4200,4500
104,14200,100,7200,3900,4400,4100,2400,100,2700,6700,5600,5300
105,13400,200,7500,3900,4700,4200,2100,100,2600,37000,7400,4400
106,13700,100,7800,3800,4100,4400,1800,100,2500,6100,3300,6400
107,13800,100,7700,4100,4400,4300,1900,200,2800,5500,3000,6300
108,14600,100,7800,4000,4100,4000,1900,200,2800,14100,3700,4400
109,13600,100,8000,3900,4400,4400,2100,200,2800,7400,8800,4300
110,18000,100,8100,5400,4400,4300,1900,100,2800,7300,3800,9500
111,14300,200,8500,4200,4300,4500,1800,400,3100,7400,3600,3900
112,15600,100,8500,4000,6100,4900,2300,200,2700,6400,3300,9300
113,14600,200,8600,4200,5200,4300,2300,100,2800,7300,4100,5100
114,16000,200,8800,4300,4500,4600,1900,200,2900,6500,5200,4400
115,16200,100,9000,4500,4800,5000,2100,200,3100,6500,3500,4100
116,16900,200,9100,4400,4500,4800,2300,200,3300,7900,3700,4300
117,15800,100,8900,4500,4700,5100,2100,200,3100,6600,4500,4300
118,16500,100,9400,4600,4800,4500,2000,300,3400,7900,3700,4200
119,15600,100,9600,4400,4700,4900,2100,100,2900,6500,3400,5200
120,16500,100,9400,4500,4300,4500,2100,100,2900,6600,3300,4000
121,17200,100,9800,4500,5200,5000,2200,200,3100,7700,3700,4100
122,15900,200,9900,4800,4800,5100,2400,200,3100,9000,4700,9800
123,18700,100,10200,4500,4900,5100,2200,200,3200,12300,3700,4300
124,17000,100,10100,4300,5100,5300,1900,200,3000,11800,3600,4200
125,18200,100,10300,4400,4600,5100,2000,100,3000,11200,3800,4500
126,18700,100,10600,4400,5000,5300,2100,200,3100,11400,3400,3900
127,19000,200,10400,4300,5100,5100,2200,200,3200,11400,3400,4400
128,18100,100,10900,4300,4900,5400,2100,100,3300,11700,3500,4300
129,19100,200,10900,4400,5600,5900,2600,200,3300,12500,4000,4400
130,17500,100,11100,4800,5600,5500,2200,200,3400,13500,3900,6400
131,18400,100,11300,4800,5400,5700,2100,100,3400,12200,3700,4600
132,21100,200,11500,4800,5200,5500,2300,200,3300,12500,3500,4400
133,21400,100,11600,4800,5600,5400,2300,200,6700,11800,3700,4600
134,19300,200,11800,4700,5300,5800,2400,200,3600,7300,3400,4800
135,19400,100,12100,4600,5800,6100,2200,200,3500,7100,3700,4700
136,21100,100,12200,4500,5300,5700,2300,200,3500,7200,3500,4500
137,20600,100,12000,4700,5200,6300,2300,200,3500,7300,5600,4800
138,20400,100,12400,4600,5500,5700,2300,200,3700,7900,3900,4900
139,21400,200,12400,4900,6300,6500,2500,200,3500,7600,3600,4700
140,20800,100,12800,5000,5500,5800,2400,200,3600,7600,3800,5200
141,22000,100,12800,5000,5600,5900,2200,200,3700,7900,3700,4700
142,22700,100,13000,5000,5500,5600,2300,200,3800,7700,4100,9100
143,20400,200,13400,5100,6000,6400,2400,200,3800,7900,3900,9100
144,22200,200,13800,5300,6300,6300,2400,200,3800,8200,8500,4700
145,23000,200,13800,5000,5700,6300,2400,200,3900,7800,3800,4700
146,23600,100,13700,4900,5600,6100,2400,300,3900,12800,4000,5100
147,23100,100,14400,5300,5400,6100,2400,400,4500,9600,4600,5300
148,21600,100,14500,5100,6500,6700,2500,200,4100,8100,5400,14300
149,24600,200,14400,5500,6300,6700,2600,200,4000,13300,3900,4900
150,25300,100,14700,5100,6500,7300,2500,200,4100,8200,4100,9400
151,23300,200,14600,4900,6300,7000,2600,200,4100,7900,4100,8300
152,24300,200,15000,5500,6800,7200,2500,200,4100,12100,4300,5400
153,26100,200,15300,5300,6200,6600,2600,200,4100,8300,4100,6800
154,24100,100,15100,5600,6800,7300,2700,200,4300,9300,9200,5700
155,23800,200,15800,5700,6800,7100,2600,200,4400,8700,4400,5300
156,25800,100,16100,5700,6400,7100,2700,200,4300,8600,4200,8800
157,27600,100,15900,5500,6300,7500,2800,300,4400,8400,4300,5400
158,25300,100,16300,5800,6800,7600,2700,200,4500,9500,4300,6000
159,26400,100,16400,5800,7000,7700,2800,200,4300,8800,8600,5600
160,26700,200,16600,5200,6400,7000,2900,200,4500,8600,4000,5200
161,29000,100,19700,7200,8600,8700,4900,200,5100,9600,4400,10800
162,30100,200,17000,6100,7200,7300,2800,300,4600,14700,4900,9200
163,26700,100,17100,5900,8200,7400,3000,300,4700,9200,5500,5700
164,29900,200,17200,6100,6900,7600,3100,200,4700,11100,10900,5900
165,30100,100,17600,5900,6800,7400,3000,200,4900,9900,5000,6300
166,27100,200,17700,5800,6900,7400,2900,200,4900,9200,6500,9100
167,31200,200,17700,6000,7200,7200,3400,200,4700,10300,4900,5700
168,32000,100,17600,5800,7400,7900,3000,200,4700,9500,8600,6300
169,28700,100,17900,6000,7000,7500,3000,200,4900,9600,4800,6100
170,29800,100,18600,6000,7500,8000,2900,100,4900,8800,4200,5900
171,30600,300,20000,7900,8500,8200,3200,200,5000,11000,14500,6200
172,30700,100,19200,6200,7400,7800,2900,300,5000,9900,5000,6600
173,33800,100,19400,6300,7900,8200,3000,200,5400,10000,4700,15300
174,31700,100,19500,6600,7400,8100,3200,300,5400,12700,7400,16200
175,31700,200,19500,6300,7700,8200,3200,200,5400,9800,6600,6000
176,31800,100,20100,6200,7900,8500,3000,200,5100,10200,4600,5900
177,34300,200,20000,5900,7800,8600,3400,200,5100,9900,5300,6200
178,34000,200,20400,6300,7700,8200,3300,200,5500,10100,5400,6300
179,29200,200,21000,6600,7800,8500,3500,200,5600,14600,5300,6100
180,31200,100,20800,6200,7400,8500,3300,200,5400,10100,9000,6500
181,35300,100,21000,6200,7800,8400,3500,200,5500,10000,5200,6500
182,31100,200,21400,6400,7900,11500,4700,300,7400,15400,11400,8000
183,34600,200,21700,6500,14500,9600,3300,200,5800,11500,5800,6900
184,34600,200,21600,6500,8800,9100,3400,300,5700,10600,19000,6700
185,34000,200,22000,6300,7800,9500,3600,200,5700,10100,4900,6500
186,36400,200,22200,6400,8000,8700,3500,300,6300,17300,5700,7300
187,37300,100,22000,6300,8300,9500,3500,200,5700,10500,5100,9800
188,35600,200,74500,6400,8000,8400,3500,200,5800,14800,4800,7000
189,33300,200,22800,6900,8800,9600,3500,200,5700,10700,5300,6600
190,34500,200,23100,6900,8400,9300,3600,300,5900,10600,5500,6500
191,38500,100,23000,6600,8900,9200,3700,300,5900,10300,9200,6800
192,38400,200,23300,6700,8600,9600,3600,200,6000,10800,5100,10000
193,38300,200,24300,7000,8000,9000,3900,200,6500,19100,6800,6600
194,37000,200,24800,8500,8400,9100,3800,300,6800,19100,7000,11100
195,38500,100,24100,6900,8600,10000,3700,300,6200,11000,5900,6800
196,40700,200,24300,7000,10400,9900,3800,300,6200,10800,5500,7200
197,38300,200,24800,7100,8900,10100,4400,300,6100,11300,5900,13600
198,39700,100,25000,7200,20100,9800,4200,300,6400,21400,6000,7500
199,39700,200,25200,7400,9600,10500,3900,1300,6400,11900,10800,7300
200,37100,200,25700,7300,8900,10200,4300,300,6300,11400,6500,8000
201,39900,200,26000,7100,8700,10200,4100,300,6600,17100,5900,7800
202,42200,200,25700,6900,10200,10000,4000,300,6500,11700,5700,7300
203,43200,200,26500,7900,10000,10500,4100,300,6900,11300,5800,7100
204,40700,200,26500,7700,9600,10100,4100,300,6700,16100,5700,7100
205,45600,200,26700,7400,8800,9700,4300,400,6700,11800,5500,7500
206,41800,200,26800,7100,9400,10700,4100,300,6800,12000,5900,7500
207,40300,200,26900,7400,9700,10700,4100,200,6800,16300,6000,7500
