n,burbuja_promedio,burbuja_mejor,burbuja_peor,quick_promedio,quick_mejor,quick_peor,insertion_promedio,insertion_mejor,insertion_peor,merge_promedio,merge_mejor,merge_peor
375,118400,100,86600,14500,18400,20300,10700,400,18800,24700,11100,17600
376,109700,200,87600,13600,18700,21000,10900,400,20800,30600,11300,21100
377,177900,300,87400,14800,18200,22500,12000,300,30400,43900,14100,18600
378,121200,200,90600,14800,18400,22400,11400,400,19900,28900,11100,21200
379,116900,200,88600,14500,18400,21100,11100,400,18800,25400,10800,20700
380,114300,200,89000,13700,17200,21100,11600,400,19400,24400,14300,16000
381,120700,200,88800,13500,18200,22200,10700,400,19200,22700,14700,15100
382,116800,200,90300,14000,18100,23800,10900,500,19700,21300,13900,14200
383,115300,200,90300,14500,18600,21200,11600,400,19700,22600,10700,23700
384,117200,200,90700,14200,17700,21000,11300,400,19600,44600,21700,22700
385,117800,200,91000,15100,19300,22700,11800,300,19700,27500,10700,21400
386,115600,200,92000,14800,18400,21200,11400,400,19700,27400,11200,14000
387,109200,200,92300,13600,18300,21700,11200,400,20100,23900,14100,16900
388,121800,200,92500,13800,18700,21300,11400,400,19700,23300,13900,14300
389,127200,200,92700,13600,18300,21400,11500,400,26400,23200,14300,13700
390,125700,200,92900,13700,19000,24300,11300,400,24400,22600,10700,17100
391,110000,100,93900,14200,18400,22000,11400,400,19800,29600,10900,23000
392,127500,200,94800,13800,18900,22500,11600,400,20200,28700,11000,15300
393,132500,300,94900,14400,18900,23300,11400,400,23700,23000,14400,14800
394,117100,200,95400,14700,18800,29100,11300,400,20500,32300,15700,14700
395,120700,200,96300,14700,19200,24200,11500,400,20500,28000,11000,21600
396,118600,200,96500,14200,21200,22300,11100,400,24800,27800,11600,17200
397,128400,100,96300,14100,18800,21900,12000,400,20300,27900,11300,16600
398,136600,200,97400,14400,18300,21300,11900,300,20600,23100,13900,14600
399,126900,200,97600,14800,17700,21000,11600,400,20500,24100,11400,16900
400,132900,200,98500,13900,19100,23400,11900,400,20800,27300,11000,17300
401,132200,200,98700,13900,20200,23200,11900,400,21700,30400,11100,16600
402,123900,200,99800,15900,19600,22500,11900,400,21700,25900,14700,15200
403,118000,200,100400,14800,19200,23400,12200,400,21300,25000,11200,21800
404,122700,100,100100,14500,20300,23900,12400,400,21200,31800,11500,20300
405,129500,200,100100,13800,19900,23200,12300,400,21100,27600,14400,14600
406,138300,200,100900,14200,18000,20800,12300,400,21300,25100,14100,14700
407,125500,200,102300,14600,19200,22600,12000,400,21800,23900,11300,22200
408,137900,100,101900,14500,18800,29200,15600,500,22400,37100,13100,27700
409,126200,200,115900,15500,20000,24500,12500,400,21600,24800,14000,15500
410,120500,200,103300,15400,21000,22500,12700,400,22500,26600,16400,17800
411,164300,200,104800,14600,20100,25800,12700,400,22300,29700,11500,23000
412,122800,100,104400,14900,20100,23200,12900,400,21800,29400,14200,18000
413,152600,100,102700,14500,19300,23000,12000,400,21500,28400,15000,13800
414,130800,100,106100,15000,20900,30100,13100,500,22100,37400,10700,18700
415,133200,200,105800,14900,19400,23200,13100,400,22300,28600,14500,14900
416,143500,200,106300,15400,19600,23800,13300,400,22500,25000,14600,14800
417,135400,200,106600,15200,20000,23700,12900,400,22600,29200,11500,17300
418,144900,200,107400,14800,22100,24000,13200,500,23100,41400,15100,15800
419,140200,300,109300,15600,19400,23300,12700,400,22600,25900,14600,14900
420,139200,200,108400,15100,20800,27200,13200,400,29100,29100,11500,20400
421,126700,200,108500,15200,20500,24100,13100,400,23400,31400,14900,15300
422,156400,200,108400,15900,22900,23800,13000,400,23000,26800,15700,18600
423,142400,200,110100,16100,23500,24400,12800,400,23000,1132700,10300,13000
424,148400,100,110200,16600,19600,22400,13600,500,23800,24200,10100,16800
425,143400,200,111300,16600,20600,24800,14800,400,23100,24200,9600,13700
426,139900,200,111200,15100,19800,24100,13200,400,23700,24800,9900,16300
427,131700,200,112300,15800,19600,23400,13000,400,23500,24500,10100,13200
428,142400,200,111400,15800,19700,45300,13900,400,24100,31200,11900,17000
429,141100,200,112800,18300,20700,24900,13200,400,23400,25000,15300,14100
430,143000,200,113600,26600,20900,27300,13700,400,23800,31500,12200,18800
431,140200,100,113500,16500,20000,22900,13400,400,23700,32400,15200,14600
432,153900,200,114500,15500,24900,25000,14100,400,23800,30900,12200,22400
433,150700,200,125500,16400,21100,23600,13400,400,24000,24800,10200,13400
434,151500,200,115400,15600,22600,24700,14200,400,25100,26800,10300,14700
435,167400,200,115600,15700,20400,23100,13800,400,24300,24200,11300,13600
436,145800,400,112900,15300,20300,24500,12900,400,23600,23700,9800,12600
437,151800,100,116200,15000,20000,23100,13000,400,23900,42000,10200,13200
438,150500,200,117600,16900,20800,23400,14100,400,24800,33900,9700,15300
439,144400,200,117700,16000,25100,24100,13400,400,24700,25700,10400,26200
440,168500,300,122500,16100,21200,26000,13900,400,25400,27300,10400,16300
441,152100,300,119300,19700,20700,24200,15500,400,24600,24400,9700,13600
442,139100,200,120100,16500,21100,23600,14100,2700,25000,25800,10700,13700
443,143300,100,120200,16400,21200,25600,14200,800,25300,27200,10900,14000
444,153600,400,119400,16500,22400,23800,14400,600,25400,25500,12100,15300
445,146400,200,121700,17100,20800,23400,15500,400,25300,25400,10100,13000
446,146600,100,121200,17000,21600,24400,14800,400,25300,27700,10400,13600
447,153000,200,121900,17300,20900,24000,14300,500,25600,24900,10500,12800
448,140200,200,122700,16700,21900,25600,14100,400,26100,25500,9900,13300
449,154000,200,122000,16200,21000,23500,14300,500,25900,26500,10500,15900
450,147100,200,133900,15300,21100,24600,14000,400,25700,28600,10400,14500
451,146200,200,125000,18400,25000,27300,15000,500,26000,27600,10600,14600
452,149100,200,125600,16300,27600,25300,14800,500,39200,32000,10700,13900
453,146800,300,125900,17300,21100,26600,14800,400,25900,26200,10500,14100
454,157300,300,126700,16200,25100,27400,14600,400,26300,26200,11000,16500
455,153400,100,126800,17100,23300,25000,15600,700,26600,28900,12300,14300
456,160500,200,127300,17700,22200,25600,14900,500,26400,24700,10300,13500
457,160300,200,127900,17300,21400,24800,15000,400,26800,26300,13600,15600
458,163600,200,128300,16600,21100,25200,15000,400,26400,26900,10600,13700
459,174500,200,129200,17200,22500,24700,14900,400,27300,27900,10800,14200
460,168400,200,129500,16800,23100,26700,15100,400,27500,27400,10700,15200
461,157900,200,129900,18200,22000,27300,15900,400,26600,25900,10400,17400
462,154100,200,130500,17500,24600,23600,15800,400,27100,28100,11000,14300
463,150000,200,130700,17500,21500,25900,14900,500,27000,27000,11200,14800
464,161900,200,132500,16400,20800,24000,15700,400,28400,30600,10100,21500
465,178300,300,132800,15600,21400,28300,15600,400,27700,26400,10600,14700
466,169500,300,133000,17400,22700,25800,16000,500,27500,26100,10500,14400
467,170700,200,134200,16600,22100,26500,15500,400,27600,26200,10700,14500
468,180300,200,133100,18100,21400,24500,15700,400,27300,25400,10400,13500
469,171500,200,135400,18600,23700,26400,16300,500,28000,26300,10700,14100
470,160500,200,134600,18400,21400,24500,16800,400,27900,28000,10700,14700
471,181800,200,137500,18400,24500,38800,15500,400,27800,25900,10600,18800
472,165700,200,144300,17100,22600,28200,16500,400,28400,26000,11100,14900
473,165800,200,136600,17700,22700,27200,15800,500,28400,27300,11000,17300
474,200900,200,136800,16000,22300,26500,17200,400,28100,29500,11500,15200
475,166600,100,137400,18000,22700,27100,17200,400,28600,28700,10900,15000
476,165400,200,138100,17800,23100,25500,16000,500,28600,26500,10700,14700
477,164500,200,151800,16800,22800,27200,16500,400,28900,27900,10900,21400
478,181800,200,140100,18400,24400,28100,15800,400,28600,26000,10800,14800
479,183900,100,140800,16800,22100,25600,16000,500,28900,26800,10800,14500
480,191400,300,140600,17700,24100,29000,16900,700,29300,28100,12600,15200
481,184500,200,141700,17600,22400,25400,16300,400,28900,28100,11300,14300
482,193900,200,142100,16300,23500,27200,16600,500,29200,26500,10700,14300
483,167500,200,143000,18400,25100,28900,17500,500,30000,28500,10800,15100
484,167400,100,142800,18600,23900,27000,16700,500,29400,28100,10700,15400
485,166600,200,143900,18000,23400,27000,16100,500,29600,27100,13500,14700
486,169500,200,144000,18200,25900,27700,16500,500,29600,35200,11200,15000
487,175500,200,144600,18100,25200,29300,16400,500,29800,27800,11100,14600
488,168200,400,144700,17500,36700,26500,16500,500,30000,28700,12700,15900
489,195700,400,145200,17400,24600,26600,17200,800,30100,37500,13000,16800
490,177600,300,146800,17700,23700,27600,17700,400,30000,27400,11000,14800
491,185400,200,148300,17700,25600,27000,34900,400,30100,29900,11500,15600
492,176300,200,147900,17800,26100,28100,17400,500,30600,28600,11300,15400
493,171600,200,148000,18300,24600,28500,17000,400,31100,28100,11400,19100
494,170500,200,149900,19100,26800,28000,16900,400,31000,32100,11200,19200
495,173500,200,149300,19000,24200,27600,17300,600,30600,29200,13600,15500
496,183700,300,153400,19100,27100,25300,18100,600,30700,29200,11100,14600
497,177100,200,150900,29500,25300,28000,18400,500,30800,29100,11000,14800
498,188700,200,152000,17500,26500,28100,16800,500,30800,28000,11400,18100
499,233800,200,150900,18300,24600,28100,17400,600,31000,28200,11300,14800
500,174500,200,153000,18600,24000,27700,24800,600,40400,27200,11200,15000
501,176700,200,160300,19100,23700,28300,17600,500,31200,44200,22700,25000
502,189000,200,153800,18600,23600,27200,18200,400,31300,31400,11500,15400
503,184000,200,154400,19600,24600,28600,17700,500,31400,29800,11400,16400
504,181300,300,152000,18100,25100,27100,19900,600,31400,29000,11500,15400
505,178500,200,152000,18500,24900,28500,17300,600,33400,29500,15800,16000
506,189800,200,152200,18500,27300,28800,18300,400,32000,30200,11500,23800
507,182200,200,157200,18700,27300,28900,17700,500,32000,30700,11800,20200
508,194300,100,157900,20500,24800,27500,18600,800,32100,30600,11400,19300
509,177900,500,157900,19000,24200,27400,18400,500,32400,29000,11400,15300
510,182200,300,158600,18600,25800,27300,17900,500,32300,28800,11300,20500
511,184000,200,160700,19000,27000,27900,19000,400,32600,29600,34300,14600
512,183900,100,159900,19800,27900,29800,18000,400,32600,29400,12000,14100
513,186200,200,159800,19000,25900,28000,18600,400,33200,30300,16100,16400
514,197300,200,161900,20000,25700,28000,18000,500,33400,29800,14200,17200
515,200800,200,162200,19900,28200,29300,24200,500,35500,29200,30900,15300
516,215600,200,163900,19600,25300,30000,28300,400,32900,28600,18300,15000
517,200600,300,162400,19000,24100,29400,19000,500,33500,30400,13100,15700
518,198200,200,163900,18600,24800,28100,24800,500,33700,29400,13300,16400
519,233400,200,162800,17700,24200,28700,18100,500,34000,29400,12300,20000
520,201200,200,164600,18400,24300,28300,19200,400,33600,29300,22200,15400
521,227600,200,166100,18600,25700,27900,19700,500,33900,31000,14200,16000
522,206100,200,167000,20200,25100,28600,18500,500,34200,29400,12800,15000
523,200300,300,167200,20500,25000,28600,18500,500,34100,37300,18500,17800
524,200200,200,167400,19400,25600,27700,19800,500,34000,31200,12500,15900
525,222700,200,168800,20900,27400,30000,18400,500,34300,28600,12000,15400
526,193400,200,172600,22800,25600,28400,19300,400,35100,32900,15100,17700
527,223200,200,169200,19700,25400,28700,19500,500,34500,31900,12700,16000
528,250400,200,169300,19000,24600,28200,40300,500,34600,29700,11800,15500
529,234300,200,171900,18100,24400,28400,19300,500,34400,29000,14100,16900
530,210800,200,172300,19800,24700,27400,20000,500,37000,29800,11900,15600
531,221200,200,172200,20300,28300,28900,19600,500,34700,29100,17100,15700
532,239600,200,176500,20000,25500,29300,20200,400,34800,28700,11800,15500
533,196800,300,172500,19100,25900,33100,19000,500,35800,31700,12700,15100
534,250700,200,172500,20200,25900,30400,19000,500,35600,30800,16300,18100
535,226900,200,173300,19200,26100,30200,19700,500,36400,31300,12400,21300
536,243200,200,174600,19000,23800,27800,19500,600,35300,30400,11800,20300
537,208500,400,174500,18600,25800,29200,19600,500,35400,29500,12900,16000
538,273100,200,176300,19600,26400,29300,20000,2900,35500,29200,12100,21300
539,200700,200,177500,20500,25100,29400,20500,1100,35900,46000,15300,18300
540,231100,200,178000,20800,25300,29000,19300,500,36500,34200,13500,16300
541,204700,200,178000,20000,25900,47100,20000,600,36000,30900,12200,17200
542,222300,200,178400,19600,25600,29000,20200,600,36300,33200,12700,19800
543,204300,200,178500,19500,25400,28800,20500,600,36700,32500,13100,34300
544,200300,200,181900,21200,25400,29600,20300,500,36800,31700,23400,17400
545,230000,100,178000,20700,25200,28900,20800,500,35700,30700,12500,15800
546,206600,200,180900,20800,25800,28900,24200,500,36900,32500,14400,18400
547,214400,200,181800,19700,25400,31200,20700,500,36700,33200,12700,17200
548,203800,300,182900,20700,26600,29300,21100,500,38600,32800,14000,18800
549,232100,200,190000,19300,26900,30300,19900,800,37100,32600,13100,17200
550,213500,200,184200,21000,27400,31100,21100,500,37600,32100,12500,19500
551,218100,300,185000,20100,26100,31000,20500,600,37400,40600,12500,20100
552,235700,300,186300,21800,28700,32200,22700,1400,37900,33700,12400,16400
553,242800,200,186900,21100,27600,31800,21300,500,37400,30700,13200,16200
554,226400,200,187800,20500,26700,30500,38200,500,37900,29800,14900,17700
555,206800,200,186700,20100,26300,30300,20500,500,37500,29700,13700,16400
556,229200,100,188400,21000,28500,33300,21300,600,38600,30900,12900,22700
557,233400,200,189700,22100,33600,31700,22100,900,38200,36400,12900,16900
558,219800,200,190500,19700,28400,32900,20100,800,38000,34800,13900,17500
559,213300,200,189700,20000,26000,30900,20800,500,38500,34700,12900,17100
560,213000,200,190300,20600,25800,29800,20600,500,38700,35100,13200,17800
561,235200,200,191800,21100,28000,32700,21700,500,44100,31900,12900,16500
562,218300,200,192200,20200,30400,33400,22400,600,38700,33900,16100,17400
563,225700,200,192300,20200,28400,32500,21600,3000,38900,33700,13600,21300
564,220000,200,194000,19800,25500,29600,23000,900,38700,33700,14900,16600
565,275200,200,195000,19900,25300,30800,21200,700,38700,31300,13300,16200
566,230900,200,195900,21700,26900,30300,20900,500,47900,31300,20200,16100
567,214500,300,195400,21100,25400,30900,21600,500,45000,33900,15600,17800
568,218300,200,196000,21100,27900,31700,22300,600,39800,32900,15500,17300
569,234400,200,198300,21300,26400,31600,22400,500,43100,35600,17700,19900
570,219900,200,197400,21500,30900,30800,23600,500,40200,33800,14500,16900
571,223500,300,197900,21300,27500,30900,21700,500,40000,33100,12900,16200
572,229400,200,200200,20200,27700,30700,22600,600,40200,34700,13300,17300
573,231000,300,199000,20400,27800,61300,22200,2300,40000,33400,12900,33000
574,294800,300,199100,20800,29400,31600,21700,700,40500,34100,14900,17200
575,265300,200,203100,22500,29900,33200,23600,500,40300,33500,13400,16700
576,260100,200,201000,20400,27700,33600,22400,500,40300,32100,12800,16700
577,274700,200,202100,20500,26200,30400,22100,500,40700,32900,17400,17000
578,292100,200,201300,19900,26800,30700,22200,500,40600,31400,13100,16000
579,239200,200,204100,21200,28600,33600,42000,500,41000,34900,14200,17600
580,237500,200,204400,21000,28100,32300,23500,600,41000,34900,13500,17900
581,254500,300,205900,22600,26600,32100,24200,500,41300,34900,32200,17000
582,230800,200,205400,21800,29600,32800,22900,500,42100,37100,14400,18000
583,249400,800,212500,22100,27500,31400,23000,500,40800,34400,13900,17300
584,268900,200,205700,20400,31200,33400,22600,500,42100,32600,14900,18400
585,237600,200,208300,21600,28300,32900,23500,500,41700,35000,13500,18300
586,235100,200,208500,21700,28200,30900,43300,600,41800,35300,13400,17800
587,268100,200,209700,23500,30100,33600,24000,600,42500,35500,16900,18900
588,234100,300,209200,21500,30300,33700,36500,600,44300,40500,13800,18100
589,248900,200,211400,22100,27900,30800,24400,500,42300,34800,16200,19600
590,262000,200,213100,22500,29200,33500,23000,500,44500,42100,13400,18000
591,237600,100,212700,20800,30800,31100,23900,500,42600,34700,13700,17500
592,240300,300,213100,22200,27200,34200,23700,400,42900,33100,15700,17900
593,227200,200,213100,21600,28400,33000,23300,500,42800,35400,13400,19900
594,278700,200,213800,21000,30900,34700,24300,700,43000,33400,13800,22100
595,257200,300,215800,22300,28200,32400,23900,2700,43100,36600,13700,17500
596,243900,200,215800,21500,26800,31100,23600,4100,43200,36200,13900,18600
597,258700,200,216800,22900,30200,32600,23400,700,43500,35800,13900,18000
598,236500,200,216600,22900,28100,32900,23900,500,43800,34900,14000,17800
599,252500,200,218300,23300,29300,33900,33100,500,43600,34500,15000,18900
600,241200,200,218400,23200,27500,32500,24100,500,44000,33400,13800,23800
601,246900,300,219700,22400,29000,32800,24700,600,44100,37400,13700,18600
602,248700,200,221000,22500,30300,33000,24200,500,46000,40000,16600,21400
603,255600,200,220400,22600,33700,38300,23900,500,44100,34900,13200,17700
604,248700,200,221600,21800,29200,31400,24900,500,45100,37500,14000,18800
605,257400,300,222700,23500,29400,33000,25400,600,44600,39200,14100,19900
606,270000,300,222700,21700,28500,34100,24500,500,44800,35500,19300,23200
607,238500,200,222200,21600,28500,32000,24000,600,44900,33600,14300,17400
608,257500,200,223300,21900,28400,33500,25300,500,55000,36900,19600,18600
609,258100,200,222000,22200,28400,34600,23900,600,45200,55100,14800,21200
610,270400,300,227100,23200,29200,33900,25100,500,44500,34700,14300,17700
611,251000,200,228200,23000,29400,31800,24900,600,47400,46600,15700,22600
612,263000,300,221900,21800,28600,32300,24900,500,44300,34000,14000,23800
613,276500,200,228300,21400,27600,31800,24800,500,44800,47100,22900,23600
614,244700,200,223400,22500,28100,33300,24800,500,45000,43700,38700,26300
615,259900,100,225700,22200,28800,33300,25300,500,45200,43600,20300,23900
616,259600,300,230500,22100,29900,34000,25100,600,46300,44100,24000,25600
617,263500,300,233500,23300,29000,33400,25900,500,46800,42200,19000,24100
618,257100,200,225000,22400,32700,32800,25500,500,45200,40500,25700,24600
619,279700,300,234200,23700,29300,34000,24700,500,45100,35700,19900,23100
620,262600,300,235300,21800,28600,33300,25300,500,50500,42700,20300,23700
621,272400,200,234900,22600,29000,33500,32900,1000,46200,42200,23700,27500
622,248400,200,228800,22900,28500,33500,25200,600,47900,37800,17300,26900
623,265900,200,235800,22300,32000,35200,25800,500,47800,46600,25800,26000
624,258500,200,235800,23200,30900,34900,26400,600,47400,40800,23500,22800
625,258200,300,236900,22600,28900,34800,24800,600,47300,43300,20300,25200
626,271400,200,239000,24400,30600,34600,26800,700,47400,42500,21300,24500
627,287100,300,237600,22600,31500,35400,26300,600,57000,42600,21000,27100
628,263700,300,239200,22600,33100,34600,27300,900,46900,46200,27300,26600
629,263100,200,252100,23400,30800,35100,25700,600,46700,42300,20100,20900
630,270100,200,239200,22100,28500,34100,25700,600,46700,49700,20800,28900
631,260200,200,235700,22900,35800,33000,25500,700,46900,61400,20400,26300
632,269400,200,242700,22900,28700,33800,25400,600,46700,44000,21000,84900
633,455100,200,257100,27100,35200,41200,27500,600,48600,45400,27900,25400
634,272700,300,242800,23100,29600,33000,25200,500,47500,42600,28600,24300
635,266400,200,247100,24300,30700,34100,27500,600,49100,43600,23500,23800
636,273700,300,246300,24800,30500,35900,26900,600,49300,46100,21400,33500
637,292600,300,245900,22900,30200,33500,27100,600,48900,51000,41900,24300
638,273500,300,246000,23900,30600,35700,27100,500,49300,45300,24600,25900
639,288200,500,249600,23600,33700,33900,27400,2000,48800,54900,21200,32200
640,278500,300,249600,23500,30900,34700,28500,600,49500,45100,20400,25100
641,290600,200,248300,23500,30900,35700,27900,600,49900,45500,21200,25400
642,288600,200,250500,22400,34000,34800,27500,600,49700,44500,34800,21900
643,284500,200,244300,23700,29600,33400,26400,600,49300,44500,28800,25800
644,284100,200,252000,24800,31800,40400,27700,600,50400,40100,18200,27000
645,273700,200,251700,22900,32000,33000,26600,600,50100,46300,28900,31400
646,287600,200,252500,23800,30400,35300,26100,600,49900,42200,19200,22100
647,294300,300,254800,24400,32100,35000,27600,600,50400,45400,24800,32900
648,303700,200,256400,25300,31000,36900,27900,600,50900,49100,45600,44200
649,280400,200,254800,23300,34800,33800,28100,600,50900,43200,18200,22800
650,288200,300,255900,23300,33100,36700,28000,600,50800,43900,21300,26800
651,276700,300,257500,24000,31500,34500,27200,600,50900,45700,23800,27400
652,308700,200,259100,24300,32100,37500,28700,600,51000,43200,21300,25900
653,307300,300,259700,23600,30800,36600,28500,900,51200,57200,23700,33300
654,295900,200,259300,23600,30600,35700,27500,600,51700,43600,18500,23300
655,317400,200,259700,23600,30400,35300,26900,500,51600,43700,24000,25900
656,304500,300,260500,24400,31400,35400,28500,600,51600,45900,25100,26100
657,357000,300,262400,23700,29300,37500,28400,600,51600,43300,18200,23900
658,290300,200,263100,24800,31300,35100,29100,1000,52200,47300,21200,26500
659,318600,200,263000,25600,33700,34500,28400,500,52700,46200,31200,32300
660,275100,300,264000,23900,32300,38900,28500,600,52300,39800,21000,24000
661,284500,400,265200,25100,34700,35400,28200,600,52500,55200,22000,32600
662,285800,200,264700,24400,30700,34800,49900,600,52600,42500,23600,25300
663,302800,300,266700,23900,31300,34800,30000,600,53100,45700,19500,25000
664,328100,200,268100,24200,31500,36000,28900,700,53400,49200,21900,42900
665,292300,300,266500,23200,31100,35700,29600,600,53500,56300,22500,26600
666,303100,200,268300,25300,33400,39000,29300,600,53000,42600,19000,25100
667,295600,200,270500,23400,31200,35700,29200,700,53400,49900,21800,30900
668,297500,200,269700,23600,32700,38000,30500,600,53500,46700,25800,28400
669,295300,300,272000,23700,31300,36400,29400,500,54100,47000,46200,27400
670,319100,200,275400,25900,31800,36000,29700,600,54000,54300,19100,24000
671,291100,200,272400,23600,32200,36800,29500,600,54200,48400,23000,28100
672,314700,200,281700,24000,31700,37600,28400,600,54000,46700,21200,26500
673,303000,200,274800,23700,31200,36800,30000,600,54900,50100,21900,27700
674,346600,300,274500,24300,31700,37100,30000,600,54600,46000,18400,23100
675,326200,200,269100,23300,32000,35400,30000,600,53200,45800,22000,26600
676,319700,300,273400,24600,32400,37800,30100,600,55000,60800,30700,28500
677,316400,300,277200,24800,35900,37300,30300,500,54900,47500,21600,33500
678,313000,200,278500,24300,32700,39300,29700,600,55200,41300,19700,24700
679,299900,300,282700,25000,33200,40300,29300,800,55500,48800,22200,25000
680,304000,200,273700,24100,46100,38500,29100,600,54700,48800,27200,28500
681,303100,200,276900,25000,32100,36100,30300,600,54400,51700,21600,27700
682,331700,600,639100,25400,35300,38400,29700,500,55900,46600,25600,28200
683,342000,300,282100,25700,31900,37100,29100,600,55000,43300,18900,23600
684,305500,200,276600,24000,33600,36800,31900,600,55000,48800,26300,24700
685,341200,200,286500,25600,38100,37500,30000,2200,54700,47900,21700,26700
686,316100,300,280100,24200,34200,38100,32400,600,55200,45800,21300,27000
687,380200,300,288300,24900,33000,39500,32100,600,56800,59700,38000,27700
688,307700,200,286000,25400,33500,39800,30200,600,56700,45000,21800,27700
689,308300,200,287300,24800,32400,37100,31100,600,57000,49700,19600,24500
690,361400,200,287900,23700,33900,36900,30400,700,56900,48700,22000,24400
691,340800,500,286400,24000,31600,35100,29200,1000,54500,50000,21200,47700
692,298800,600,283200,25900,33500,37800,31500,700,57000,56300,22700,27600
693,317600,300,288300,26100,33700,37700,33000,600,56800,46900,22400,33500
694,372300,200,287900,24800,33200,36600,30900,600,56000,43800,21700,25900
695,311400,300,317200,24400,36500,40400,29600,600,56500,48700,22100,45200
696,352600,200,292900,26200,32000,40100,30700,700,56600,59900,19200,26800
697,344900,300,298600,25800,32500,36500,30900,600,57000,48000,19900,23100
698,314400,200,296500,25400,53600,44700,32100,600,57000,62800,43900,23600
699,303500,300,292400,26900,34600,37000,29800,600,56800,43600,22400,25400
700,334600,300,294300,28400,32700,37500,31900,800,59900,48600,22700,34500
701,321300,300,298800,26100,33700,38300,33600,600,58400,48500,23000,27800
702,343600,200,299100,25900,31700,36100,32500,600,59000,53700,23600,27800
703,331600,300,300800,26700,33500,36500,32200,600,59400,51000,23700,37900
704,372100,300,330700,25900,35900,37000,32100,800,58900,48700,22700,27200
705,381900,300,300800,24200,32200,37900,32500,600,57900,45500,22900,26900
706,335200,200,294400,25500,37900,44800,32600,1100,59900,51900,25700,28200
707,339900,400,302900,26400,33400,38200,32400,700,59500,45000,22000,26700
708,361200,300,299500,25600,32400,37200,32700,600,58300,43500,22300,28000
709,321600,300,305000,25100,33800,38900,33600,600,59700,45000,20200,27600
710,339000,300,302200,26000,34300,37500,31700,600,60700,49500,22000,26800
711,340300,300,335500,26800,33600,39000,33600,600,60600,53300,25500,25700
712,367900,300,306500,24300,32900,39000,33100,800,60500,49900,20500,25400
713,353500,300,354200,25700,32900,37300,32300,600,65500,49800,20400,27700
714,337700,300,308700,25200,34700,39500,32500,700,60700,52300,30100,27900
715,331800,200,303800,25600,36000,36700,31400,700,59300,54500,19800,27800
716,331900,300,308700,25100,35700,39100,31900,600,61500,56000,22300,28500
717,333100,200,310200,26400,38400,39500,33400,600,61100,45700,20100,28000
718,365200,300,316100,26700,34400,39200,33300,600,61100,43800,24400,27100
719,327700,300,311900,25900,33700,38900,32100,600,61500,50500,23200,32000
720,357100,200,306000,25900,39200,40900,33400,700,61700,47400,40100,28800
721,350700,300,313100,28300,37300,39900,32500,700,60300,45300,23700,27800
722,399800,200,319400,26100,33000,38700,33000,600,60400,45000,22600,27800
723,337100,200,310100,26000,43500,39000,32000,600,61100,51500,23400,30200
724,370500,300,313200,25500,38900,40000,32900,700,60700,48600,25700,34800
725,353100,300,887400,26100,33300,38700,33800,600,62800,53100,26900,29600
726,338300,200,319000,26600,34800,38500,34300,600,63000,52200,28400,39100
727,363100,300,319900,26600,36300,38800,36000,600,65100,52900,23400,28500
728,351200,300,319600,25400,34000,39400,35100,700,63000,48700,23200,28200
729,351800,200,323200,26000,34400,41100,34500,600,68200,56600,27300,29900
730,364200,300,322100,26800,35600,41300,34900,600,63200,61800,28900,30000
731,357100,300,322300,26700,34100,38000,34800,700,63900,52800,26000,26000
732,357900,300,324600,26200,34900,39700,34700,700,84000,50600,21200,30500
733,356200,300,327100,26600,34900,39700,34300,600,65900,51900,21800,27500
734,369500,200,317600,25700,32800,39400,33100,600,60900,41800,22400,27700
735,355600,300,314600,27600,34900,40600,34400,600,61100,46800,28100,35500
736,360400,200,323700,27100,34000,38800,35500,800,64800,68500,24100,34800
737,355300,700,327400,26400,36600,40200,35400,700,63300,53100,32100,31700
738,411400,300,329100,26700,33700,40500,33900,600,63200,50200,23100,28700
739,359600,300,321800,27100,36300,40800,35100,600,64900,52100,30300,26800
740,351000,300,331900,26600,36000,41300,35300,600,63300,71700,20800,31200
741,387000,300,329600,25800,33000,41300,38700,600,68800,48200,28200,30300
742,372800,200,324200,26800,34200,43100,34600,600,63800,49600,23400,28100
743,356000,300,328300,26800,33400,39300,35100,700,65500,50900,23800,40300
744,381100,300,326800,26100,34600,40300,35500,800,64100,65500,23800,31300
745,382600,300,327800,27000,36000,41900,36100,600,64900,51800,37500,26100
746,359300,200,329200,28800,34500,39800,34100,600,64600,49100,20300,28500
747,348800,200,323500,27100,35100,40300,34500,700,65000,66500,45300,30100
748,383400,200,322700,24300,35500,39100,39500,600,199400,157600,70100,78800
749,352100,300,339300,28100,45600,40800,35900,700,66900,52800,24500,29600
750,362600,200,338000,25500,34900,40200,35900,1000,66600,53100,24000,28500
751,367400,300,340400,28900,35500,39900,36100,800,65300,51700,30100,41000
752,374000,300,336400,26600,33900,41700,35900,700,65700,49900,28000,28300
753,688500,300,350700,27200,35300,41700,35300,700,67500,55200,33900,30200
754,378700,300,341900,27300,35700,42700,35300,800,67500,52500,24400,31800
755,355100,200,344600,27100,35400,40700,37100,700,67800,59500,23400,29600
756,376100,300,342000,27700,45400,43600,36000,700,68100,73800,24200,34800
757,400600,300,350000,27200,36000,40600,37700,700,66500,53200,37800,29500
758,373200,200,342800,26900,35900,42000,34700,700,66600,51800,28800,29100
759,364400,300,338800,26700,35300,40500,35100,600,66800,49300,21700,29400
