2,2800,3200,1300,3600
3,1400,1500,1500,2600
4,1200,2000,1800,2700
5,1800,2700,1800,3900
6,1400,3100,1900,4000
7,2400,2200,2300,4200
8,1700,2300,2300,4200
9,2700,2800,4100,6800
10,2200,4100,3300,5300
11,3100,4700,3600,5400
12,2300,12200,3800,9100
13,2900,5200,2800,8700
14,3300,14200,3100,6100
15,4000,24700,3100,9500
16,3700,3200,2800,6900
17,4200,3700,3400,19700
18,5900,4700,4600,29000
19,5300,6100,3600,8300
20,9000,4500,8500,8000
21,5800,15600,2000,11500
22,7900,2400,1800,9000
23,9500,2000,1500,17800
24,7700,2800,16300,7500
25,10500,21700,1600,5300
26,12000,4100,2100,4900
27,9900,3200,2500,5800
28,10600,3500,2200,16600
29,12900,2800,2300,46000
30,15700,2600,3500,6600
31,11600,6100,3700,6500
32,16600,2900,2400,4400
33,18200,7900,5200,15600
34,21600,3000,3300,6500
35,24700,4200,3800,7000
36,18100,3000,2300,6300
37,29500,3000,2800,7100
38,20300,4000,5000,4900
39,23800,4300,3100,7900
40,20900,3200,3900,6200
41,24300,2700,5800,4800
42,34800,5800,3000,8000
43,27900,5100,3600,8800
44,34500,7900,4600,18500
45,34200,4100,5200,5400
46,28100,3200,3700,8500
47,26100,5500,4700,5700
48,30100,6000,4400,9800
49,45500,3900,3200,10600
50,50600,8500,5300,6700
51,46100,3900,2900,7000
52,78500,3700,3500,6600
53,45000,5100,3400,7100
54,32800,3900,5300,9300
55,34300,5400,4700,52400
56,55000,4200,4900,6800
57,35700,4100,4400,6900
58,48000,19800,4100,10300
59,41200,4300,3400,9700
60,58300,4500,5300,7200
61,65100,5800,4100,7800
62,42800,5100,4100,7600
63,42200,31600,8100,12000
64,54600,3800,2900,7700
65,74500,3100,2400,8200
66,54900,3300,4100,31100
67,66700,3400,2400,16000
68,56900,3100,3800,11800
69,123100,64700,9800,29700
70,83000,4100,2200,8600
71,60100,3200,2200,23400
72,102300,4400,3100,13000
73,41500,4500,3200,8300
74,18000,4000,3100,11100
75,17900,3700,2600,8900
76,14500,3400,3400,8600
77,14000,3400,2700,13600
78,20800,3600,3000,12600
79,19500,3800,6000,10200
80,12900,3600,3400,9300
81,17300,3500,3300,11800
82,23200,4600,3800,12000
83,25400,5400,5800,35700
84,15100,3400,5500,24600
85,14600,4100,4100,7000
86,24400,4300,4400,10500
87,25100,4300,5100,28300
88,19400,3800,7000,10400
89,17900,4000,3600,10300
90,43500,5300,3900,10300
91,16600,3900,2700,7500
92,27500,3900,5700,7600
93,17900,4200,3800,9000
94,17900,3800,3000,19000
95,20200,4100,4000,7400
96,32800,5600,5500,8800
97,77900,17800,4100,7300
98,20800,4500,4300,9800
99,87700,4100,4100,7900
100,21000,4000,3800,7800
101,16300,3900,2700,30800
102,12800,4200,3400,8500
103,13500,4200,3100,10400
104,16000,4300,4600,7300
105,13400,4600,3200,11100
106,15800,7200,7500,9900
107,18100,6900,6000,9500
108,15300,6800,4900,13900
109,15300,4900,4400,9300
110,14000,4700,4400,9000
111,16000,4600,6000,8600
112,15500,4700,4400,9100
113,16400,4700,4600,11400
114,15600,4700,4700,8800
115,15400,4800,3500,9100
116,15000,5000,4800,12600
117,15900,4900,3400,12200
118,16000,4900,3500,9300
119,17200,4800,3400,9200
120,15800,4400,3100,20300
121,19300,6200,5200,14300
122,20700,10600,4500,10400
123,20800,5900,5200,24400
124,18000,5300,5100,9600
125,21800,5600,4000,10400
126,18000,5200,5100,12500
127,18300,5500,4000,9500
128,19700,5400,5200,8800
129,19600,4900,6000,10500
130,20300,5300,5300,12000
131,21200,11900,5400,9900
132,19200,5400,5100,14000
133,21600,4700,3500,11000
134,19900,4900,3600,11300
135,19300,5100,5100,10700
136,25500,5000,5000,11200
137,24600,5700,5500,61200
138,37700,8600,5400,16300
139,22100,5800,5200,12000
